job_title,experience_years,education_level,skills_count,industry,company_size,location,remote_work,certifications,salary,experience_level
Software Engineer,8,high school,18,Retail,Enterprise,Singapore,0,1,134205,Mid
Backend Developer,4,phd,12,Telecom,Startup,India,,1,77939,Junior
Data Analyst,20,phd,1,Manufacturing,Medium,USA,1,0,191096,Senior
Business Analyst,3,diploma,14,Consulting,Medium,UK,0,5,111115,Junior
AI Engineer,12,high school,2,Finance,Medium,Netherlands,1,3,153247,Senior
Cybersecurity Analyst,13,bachelor,9,Consulting,Large,Sweden,0,3,159278,Senior
Cloud Engineer,17,master,9,Manufacturing,Large,Sweden,0,5,184436,Senior
Business Analyst,20,high school,3,Technology,Small,Canada,,1,138816,Senior
Product Manager,1,master,6,Technology,Medium,Australia,0,3,129229,Fresher
Software Engineer,11,phd,8,Healthcare,Medium,Canada,0,3,171686,Senior
Product Manager,2,master,13,Telecom,Medium,Remote,1,0,139641,Fresher
Business Analyst,8,bachelor,15,Government,Large,Germany,,2,143723,Mid
Backend Developer,18,bachelor,8,Consulting,Large,India,0,3,110112,Senior
Cloud Engineer,17,high school,2,Retail,Startup,Germany,,3,133187,Senior
Cybersecurity Analyst,3,master,18,Retail,Large,UK,,3,167315,Junior
Cybersecurity Analyst,3,high school,5,Manufacturing,Enterprise,Netherlands,,1,118379,Junior
Cybersecurity Analyst,10,diploma,3,Healthcare,Enterprise,India,0,0,106400,Mid
Cloud Engineer,17,master,17,Retail,Medium,Germany,0,2,187913,Senior
Data Scientist,8,diploma,7,Manufacturing,Small,Remote,1,1,118562,Mid
Cloud Engineer,12,bachelor,2,Consulting,Enterprise,USA,1,2,211319,Senior
AI Engineer,19,bachelor,4,Media,Medium,Singapore,,3,176966,Senior
Cloud Engineer,16,phd,13,Government,Medium,USA,0,5,230499,Senior
Business Analyst,5,phd,18,Education,Startup,Netherlands,0,1,104364,Junior
Data Scientist,8,high school,16,Telecom,Small,UK,0,2,138497,Mid
Cybersecurity Analyst,19,phd,12,Telecom,Enterprise,Singapore,1,3,224252,Senior
Business Analyst,15,bachelor,11,Government,Medium,Germany,,4,136322,Senior
Business Analyst,5,master,15,Manufacturing,Large,Singapore,,0,113830,Junior
Frontend Developer,6,diploma,19,Finance,Startup,UK,,1,104707,Mid
Machine Learning Engineer,20,master,15,Education,Medium,Singapore,1,0,194556,Senior
Data Scientist,17,phd,3,Finance,Medium,Netherlands,,3,161188,Senior
Business Analyst,9,phd,16,Consulting,Small,UK,,5,156923,Mid
Machine Learning Engineer,2,high school,9,Government,Large,UK,0,3,150104,Fresher
Machine Learning Engineer,4,master,17,Consulting,Enterprise,Netherlands,0,2,175882,Junior
Data Scientist,2,phd,18,Manufacturing,Large,Netherlands,,5,153715,Fresher
Frontend Developer,0,diploma,1,Retail,Enterprise,Canada,1,1,128777,
Product Manager,20,diploma,13,Media,Small,Remote,,0,139296,Senior
Backend Developer,9,bachelor,12,Finance,Medium,Germany,1,3,140099,Mid
AI Engineer,3,diploma,18,Technology,Medium,USA,0,2,179209,Junior
Backend Developer,4,master,2,Manufacturing,Medium,UK,0,1,127163,Junior
Cloud Engineer,12,phd,18,Manufacturing,Small,Remote,1,5,165230,Senior
Cybersecurity Analyst,13,diploma,10,Education,Enterprise,USA,1,1,214121,Senior
AI Engineer,14,master,2,Finance,Startup,Sweden,,1,146091,Senior
Cloud Engineer,4,master,8,Government,Medium,Singapore,1,2,128586,Junior
Cybersecurity Analyst,2,phd,2,Telecom,Startup,Netherlands,,1,112803,Fresher
Software Engineer,5,phd,18,Education,Small,Singapore,0,4,141440,Junior
Data Scientist,4,high school,14,Finance,Small,Sweden,0,4,105485,Junior
AI Engineer,5,high school,1,Finance,Startup,Remote,0,1,116698,Junior
AI Engineer,1,high school,11,Manufacturing,Small,Remote,,5,125249,Fresher
Business Analyst,17,master,2,Finance,Enterprise,Remote,0,2,149199,Senior
Product Manager,8,master,15,Retail,Enterprise,Singapore,,4,181039,Mid
Machine Learning Engineer,2,bachelor,18,Telecom,Small,Australia,1,4,138281,Fresher
Cybersecurity Analyst,0,high school,15,Government,Medium,Netherlands,1,2,108552,
Business Analyst,9,high school,4,Retail,Small,Canada,1,3,111070,Mid
DevOps Engineer,1,master,11,Finance,Enterprise,Sweden,,3,147586,Fresher
Frontend Developer,6,bachelor,10,Consulting,Startup,Remote,,4,96708,Mid
Machine Learning Engineer,1,high school,16,Telecom,Medium,India,,0,75134,Fresher
Data Scientist,0,high school,10,Healthcare,Large,Singapore,0,0,91611,
Machine Learning Engineer,15,bachelor,2,Finance,Medium,Australia,,4,158477,Senior
Product Manager,15,bachelor,2,Manufacturing,Small,Remote,,0,134092,Senior
Machine Learning Engineer,15,bachelor,13,Education,Small,USA,1,0,199092,Senior
Data Scientist,10,bachelor,1,Finance,Medium,India,,1,77841,Mid
Product Manager,8,diploma,17,Media,Enterprise,UK,,2,191969,Mid
Backend Developer,18,phd,10,Education,Enterprise,Canada,,0,230129,Senior
AI Engineer,6,phd,18,Healthcare,Small,UK,0,4,192544,Mid
AI Engineer,14,bachelor,15,Education,Startup,USA,,2,195834,Senior
Frontend Developer,5,high school,13,Telecom,Small,Remote,0,2,91428,Junior
Cloud Engineer,20,phd,4,Government,Large,Singapore,,2,195494,Senior
Backend Developer,19,diploma,10,Telecom,Large,India,0,4,109343,Senior
Backend Developer,6,diploma,1,Telecom,Startup,Canada,,4,106000,Mid
Cybersecurity Analyst,3,phd,2,Healthcare,Medium,Sweden,,5,146195,Junior
Machine Learning Engineer,16,high school,9,Technology,Large,Netherlands,,4,171372,Senior
AI Engineer,4,diploma,14,Education,Large,UK,,5,185772,Junior
Data Scientist,7,master,6,Education,Small,Australia,,2,126020,Mid
Data Analyst,1,diploma,8,Retail,Small,Sweden,,1,69512,Fresher
Data Analyst,3,high school,17,Consulting,Small,Australia,1,5,87017,Junior
Product Manager,19,bachelor,2,Healthcare,Startup,Australia,0,1,130127,Senior
AI Engineer,18,high school,19,Finance,Enterprise,India,0,1,146788,Senior
Frontend Developer,9,high school,5,Technology,Enterprise,Remote,0,3,130233,Mid
Data Analyst,20,master,1,Manufacturing,Medium,Netherlands,,5,136237,Senior
AI Engineer,17,bachelor,4,Healthcare,Large,Remote,1,4,193382,Senior
Frontend Developer,2,phd,9,Retail,Small,Netherlands,0,1,108377,Fresher
Machine Learning Engineer,11,high school,3,Retail,Medium,Netherlands,0,0,127942,Senior
DevOps Engineer,7,phd,16,Manufacturing,Medium,Australia,1,0,154734,Mid
Cybersecurity Analyst,4,high school,8,Education,Large,USA,,0,147623,Junior
Software Engineer,17,diploma,12,Manufacturing,Medium,Canada,0,1,169738,Senior
Backend Developer,8,high school,9,Media,Medium,Netherlands,,5,119058,Mid
Cloud Engineer,11,diploma,12,Telecom,Small,Germany,0,5,145411,Senior
Product Manager,4,high school,2,Consulting,Enterprise,Sweden,0,0,133017,Junior
DevOps Engineer,4,bachelor,5,Healthcare,Small,Germany,0,2,120288,Junior
Cybersecurity Analyst,9,high school,6,Manufacturing,Large,USA,,1,161018,Mid
Cybersecurity Analyst,2,bachelor,4,Media,Medium,Germany,1,3,124820,Fresher
Cybersecurity Analyst,12,high school,5,Manufacturing,Small,Germany,1,5,127732,Senior
Cybersecurity Analyst,11,phd,14,Media,Small,Singapore,0,1,154429,Senior
Data Analyst,11,master,6,Finance,Startup,Remote,,4,107522,Senior
Frontend Developer,19,bachelor,2,Finance,Startup,Remote,0,1,119000,Senior
Backend Developer,3,bachelor,7,Media,Small,Netherlands,0,1,90498,Junior
AI Engineer,12,bachelor,17,Retail,Startup,Australia,1,1,155950,Senior
Cybersecurity Analyst,7,high school,12,Education,Medium,Germany,0,1,131691,Mid
Cloud Engineer,9,master,16,Technology,Startup,Singapore,0,0,125003,Mid
AI Engineer,0,diploma,4,Manufacturing,Medium,Netherlands,,4,132180,
Data Scientist,20,diploma,15,Manufacturing,Medium,USA,0,3,202015,Senior
Data Scientist,11,master,16,Finance,Small,USA,1,1,188674,Senior
Cloud Engineer,8,master,5,Technology,Medium,Germany,,1,156657,Mid
Frontend Developer,17,master,9,Education,Small,Australia,1,5,158023,Senior
Cloud Engineer,6,diploma,6,Technology,Enterprise,USA,0,1,185816,Mid
Data Analyst,5,high school,3,Manufacturing,Small,USA,0,4,106642,Junior
Cloud Engineer,5,diploma,12,Education,Large,UK,1,2,157474,Junior
Machine Learning Engineer,11,master,17,Telecom,Small,Remote,,0,159308,Senior
AI Engineer,17,diploma,3,Finance,Large,Canada,,4,220056,Senior
DevOps Engineer,20,high school,6,Healthcare,Large,India,1,4,118711,Senior
Business Analyst,19,high school,10,Telecom,Medium,Australia,0,2,117736,Senior
Frontend Developer,19,high school,3,Consulting,Medium,Singapore,1,5,134365,Senior
Cloud Engineer,19,high school,12,Finance,Medium,Australia,1,0,150970,Senior
Product Manager,1,high school,13,Consulting,Small,UK,,3,119092,Fresher
Data Scientist,13,phd,10,Government,Startup,Singapore,,3,143921,Senior
Machine Learning Engineer,16,diploma,14,Media,Medium,USA,,4,211447,Senior
Backend Developer,7,high school,5,Government,Medium,Singapore,1,2,114572,Mid
Cybersecurity Analyst,4,master,2,Government,Enterprise,Germany,1,1,162008,Junior
Business Analyst,19,diploma,11,Media,Enterprise,Canada,0,2,183378,Senior
Frontend Developer,10,master,1,Technology,Large,Singapore,1,4,145624,Mid
DevOps Engineer,2,phd,4,Media,Enterprise,USA,1,0,203814,Fresher
Business Analyst,11,high school,2,Manufacturing,Large,Canada,1,0,124494,Senior
Cloud Engineer,14,diploma,19,Manufacturing,Medium,Germany,,4,167683,Senior
Data Analyst,10,master,8,Telecom,Enterprise,Sweden,0,1,132351,Mid
Data Scientist,18,high school,19,Manufacturing,Large,Canada,0,0,192915,Senior
Data Scientist,10,master,4,Manufacturing,Medium,UK,1,2,161920,Mid
Backend Developer,19,diploma,9,Government,Small,Remote,0,1,135226,Senior
Data Analyst,15,phd,9,Telecom,Large,India,1,5,121352,Senior
Cybersecurity Analyst,7,high school,17,Education,Small,Singapore,0,3,118153,Mid
AI Engineer,7,bachelor,15,Media,Large,USA,,4,221101,Mid
Software Engineer,0,phd,9,Consulting,Enterprise,Canada,1,0,179616,
Machine Learning Engineer,0,master,19,Telecom,Small,Germany,1,2,149302,
Data Scientist,0,high school,4,Finance,Startup,Germany,,1,83414,
Product Manager,5,master,19,Telecom,Medium,Canada,,3,176127,Junior
Data Scientist,0,phd,19,Healthcare,Medium,Netherlands,1,0,138336,
Business Analyst,8,bachelor,10,Consulting,Enterprise,Canada,1,1,146263,Mid
Data Scientist,9,phd,19,Finance,Small,Australia,,0,148382,Mid
Frontend Developer,14,phd,4,Healthcare,Small,USA,,5,186583,Senior
Data Scientist,8,high school,6,Media,Startup,Australia,,2,103678,Mid
Software Engineer,12,master,1,Retail,Small,Germany,1,0,141082,Senior
Software Engineer,13,bachelor,13,Manufacturing,Large,Remote,1,2,155339,Senior
Cybersecurity Analyst,14,diploma,4,Consulting,Large,India,,3,97308,Senior
DevOps Engineer,3,high school,13,Media,Small,Netherlands,0,0,97030,Junior
AI Engineer,11,diploma,6,Education,Medium,UK,1,2,180105,Senior
Product Manager,12,high school,6,Education,Enterprise,Canada,,0,188852,Senior
Data Scientist,6,diploma,12,Government,Small,Canada,,4,134908,Mid
Data Scientist,14,master,2,Consulting,Small,Germany,1,1,144017,Senior
Machine Learning Engineer,20,bachelor,16,Education,Medium,India,0,0,121755,Senior
Software Engineer,1,diploma,2,Manufacturing,Enterprise,UK,0,4,134193,Fresher
Product Manager,20,high school,9,Education,Enterprise,Remote,1,1,192258,Senior
Cybersecurity Analyst,5,high school,4,Media,Small,Germany,,1,108329,Junior
Backend Developer,4,high school,1,Media,Large,Canada,,3,120687,Junior
DevOps Engineer,0,diploma,19,Education,Startup,Sweden,1,4,97795,
AI Engineer,9,master,19,Retail,Small,Canada,1,3,206331,Mid
Data Analyst,18,diploma,16,Retail,Medium,Remote,0,3,123724,Senior
AI Engineer,7,bachelor,5,Retail,Enterprise,Netherlands,1,3,183343,Mid
Frontend Developer,14,phd,16,Retail,Large,UK,,2,189181,Senior
Business Analyst,1,high school,4,Media,Small,Singapore,,5,73208,Fresher
Frontend Developer,12,high school,17,Telecom,Medium,India,1,4,84446,Senior
Data Scientist,3,master,14,Finance,Enterprise,USA,,0,179260,Junior
DevOps Engineer,2,bachelor,11,Consulting,Small,Remote,1,4,117580,Fresher
Business Analyst,0,diploma,5,Manufacturing,Small,India,0,2,49398,
Product Manager,15,high school,15,Healthcare,Startup,Netherlands,0,3,134048,Senior
Data Analyst,9,bachelor,17,Media,Small,UK,,4,113902,Mid
Software Engineer,5,diploma,11,Healthcare,Small,Remote,,2,101078,Junior
DevOps Engineer,4,diploma,18,Retail,Large,Singapore,0,1,129419,Junior
DevOps Engineer,16,diploma,9,Retail,Small,Remote,1,1,141488,Senior
Frontend Developer,3,diploma,14,Manufacturing,Large,USA,0,2,138279,Junior
Data Scientist,19,master,6,Healthcare,Startup,USA,,5,188568,Senior
Cloud Engineer,11,high school,17,Government,Small,India,1,4,92273,Senior
Cybersecurity Analyst,17,master,14,Technology,Enterprise,India,0,3,136311,Senior
Frontend Developer,1,diploma,3,Government,Small,Netherlands,,3,76077,Fresher
DevOps Engineer,10,diploma,7,Technology,Enterprise,Germany,0,2,170336,Mid
Machine Learning Engineer,8,phd,4,Consulting,Small,Australia,,1,143125,Mid
Data Analyst,5,high school,15,Manufacturing,Small,Australia,0,5,94165,Junior
Cybersecurity Analyst,5,diploma,12,Finance,Medium,USA,,3,146361,Junior
Frontend Developer,4,master,10,Finance,Small,Netherlands,0,5,116522,Junior
Data Analyst,2,high school,19,Technology,Startup,USA,1,4,98885,Fresher
Machine Learning Engineer,4,master,15,Finance,Small,Netherlands,0,3,144242,Junior
Backend Developer,11,bachelor,17,Finance,Enterprise,Singapore,1,3,172732,Senior
Machine Learning Engineer,20,diploma,8,Consulting,Enterprise,Sweden,1,5,211497,Senior
Machine Learning Engineer,9,master,2,Education,Startup,Netherlands,1,3,135576,Mid
Data Analyst,9,phd,16,Education,Medium,Germany,,3,135500,Mid
AI Engineer,16,diploma,2,Healthcare,Small,Singapore,0,3,143712,Senior
Data Analyst,3,master,16,Consulting,Small,Netherlands,1,2,101591,Junior
Cloud Engineer,14,bachelor,5,Finance,Startup,Remote,,3,131106,Senior
Data Scientist,17,master,6,Government,Medium,Australia,1,3,163381,Senior
Business Analyst,17,master,2,Retail,Medium,Netherlands,0,3,139419,Senior
AI Engineer,16,master,14,Healthcare,Startup,UK,,4,194819,Senior
Software Engineer,16,phd,18,Education,Small,Australia,,3,156195,Senior
Business Analyst,18,bachelor,5,Technology,Small,Sweden,1,1,116535,Senior
Data Scientist,13,diploma,17,Telecom,Small,UK,,0,151402,Senior
Frontend Developer,15,bachelor,13,Healthcare,Medium,Sweden,0,2,137313,Senior
Cybersecurity Analyst,11,high school,19,Technology,Small,Netherlands,0,4,134961,Senior
Cloud Engineer,10,high school,7,Retail,Medium,UK,1,2,148582,Mid
Cloud Engineer,14,high school,5,Media,Medium,Canada,1,4,162647,Senior
Software Engineer,18,phd,6,Telecom,Medium,Singapore,0,2,167616,Senior
AI Engineer,20,diploma,12,Healthcare,Large,India,1,0,133712,Senior
Backend Developer,20,high school,14,Consulting,Small,Germany,1,3,150019,Senior
Machine Learning Engineer,6,diploma,6,Media,Large,USA,1,0,181620,Mid
AI Engineer,1,high school,18,Retail,Enterprise,Netherlands,1,3,162763,Fresher
Cybersecurity Analyst,13,phd,3,Technology,Large,Netherlands,,3,166904,Senior
Backend Developer,15,bachelor,15,Technology,Medium,UK,1,2,163999,Senior
Cloud Engineer,5,diploma,12,Consulting,Large,UK,0,2,148246,Junior
Data Analyst,6,bachelor,7,Education,Startup,Canada,0,3,105109,Mid
Cybersecurity Analyst,15,high school,13,Technology,Startup,Sweden,,5,123557,Senior
Data Scientist,11,bachelor,11,Media,Startup,UK,0,4,143368,Senior
Software Engineer,6,high school,1,Consulting,Small,Australia,0,3,97296,Mid
Data Scientist,4,phd,10,Retail,Medium,UK,,2,150628,Junior
Cybersecurity Analyst,2,diploma,19,Government,Medium,Remote,1,1,116699,Fresher
Product Manager,11,bachelor,13,Government,Small,Germany,1,4,166046,Senior
Product Manager,17,master,9,Consulting,Small,Australia,,0,151888,Senior
Frontend Developer,13,high school,12,Retail,Startup,Sweden,,2,106247,Senior
AI Engineer,20,phd,13,Manufacturing,Enterprise,India,1,2,172891,Senior
Cloud Engineer,18,phd,17,Media,Startup,Germany,,2,179650,Senior
Cloud Engineer,3,phd,2,Telecom,Small,Netherlands,,1,122823,Junior
Machine Learning Engineer,12,bachelor,4,Media,Enterprise,India,0,4,137499,Senior
Machine Learning Engineer,10,high school,9,Telecom,Small,Remote,,0,129333,Mid
Machine Learning Engineer,5,diploma,1,Technology,Small,UK,1,2,146376,Junior
Data Analyst,17,diploma,12,Technology,Enterprise,Remote,0,0,138893,Senior
Business Analyst,8,diploma,10,Media,Enterprise,USA,,1,165706,Mid
DevOps Engineer,5,diploma,9,Education,Enterprise,Germany,0,4,166113,Junior
Business Analyst,1,diploma,2,Telecom,Startup,Singapore,,0,52787,Fresher
Data Scientist,7,bachelor,3,Finance,Small,USA,0,5,151186,Mid
Business Analyst,16,phd,5,Healthcare,Medium,Germany,1,5,161500,Senior
Data Analyst,1,phd,10,Retail,Enterprise,Singapore,1,4,127587,Fresher
Frontend Developer,8,bachelor,8,Media,Enterprise,India,1,3,98399,Mid
Data Scientist,17,diploma,10,Consulting,Medium,Germany,1,1,164173,Senior
Business Analyst,11,diploma,17,Retail,Enterprise,USA,1,5,182305,Senior
Data Analyst,2,high school,16,Healthcare,Enterprise,Canada,,1,111691,Fresher
DevOps Engineer,7,phd,19,Healthcare,Medium,Canada,1,5,193283,Mid
Business Analyst,20,diploma,14,Consulting,Large,Sweden,1,1,148056,Senior
Data Analyst,12,bachelor,17,Healthcare,Medium,India,1,3,88963,Senior
Machine Learning Engineer,6,master,11,Media,Medium,Germany,,1,163077,Mid
Cloud Engineer,12,bachelor,3,Education,Large,India,1,3,104751,Senior
Machine Learning Engineer,6,diploma,17,Manufacturing,Small,India,1,0,92541,Mid
Cloud Engineer,18,diploma,7,Media,Enterprise,Sweden,0,5,187965,Senior
Software Engineer,8,diploma,11,Manufacturing,Small,Netherlands,1,2,101905,Mid
Software Engineer,11,phd,1,Healthcare,Large,Remote,0,2,152683,Senior
Software Engineer,2,phd,15,Consulting,Enterprise,India,,4,116761,Fresher
DevOps Engineer,18,bachelor,13,Healthcare,Medium,Germany,1,3,177621,Senior
Machine Learning Engineer,15,bachelor,13,Media,Startup,India,0,5,110903,Senior
Cloud Engineer,10,phd,6,Healthcare,Large,Germany,1,3,200250,Mid
Data Analyst,20,phd,14,Consulting,Medium,Remote,0,2,153652,Senior
Data Scientist,0,bachelor,17,Manufacturing,Small,Remote,,1,97183,
Data Analyst,15,master,11,Education,Small,Remote,,3,127508,Senior
Data Scientist,5,bachelor,9,Education,Startup,Netherlands,,4,110035,Junior
Product Manager,15,bachelor,14,Consulting,Medium,UK,,2,178035,Senior
Data Analyst,19,phd,6,Manufacturing,Medium,USA,,3,192699,Senior
Business Analyst,7,master,1,Healthcare,Enterprise,Germany,1,1,140720,Mid
Business Analyst,1,master,15,Telecom,Startup,India,0,0,62524,Fresher
AI Engineer,13,bachelor,7,Finance,Enterprise,India,1,1,131994,Senior
Machine Learning Engineer,1,bachelor,13,Consulting,Large,Australia,0,5,139386,Fresher
Data Scientist,3,master,16,Media,Large,Australia,,2,137321,Junior
Data Scientist,17,high school,14,Finance,Enterprise,Netherlands,1,4,185705,Senior
Cybersecurity Analyst,11,high school,10,Telecom,Startup,UK,,1,132600,Senior
Frontend Developer,11,high school,16,Finance,Medium,Sweden,,5,113694,Senior
Machine Learning Engineer,1,bachelor,16,Consulting,Large,Germany,1,2,160359,Fresher
DevOps Engineer,4,master,18,Telecom,Startup,Germany,,3,132371,Junior
AI Engineer,0,phd,7,Media,Small,Sweden,,2,139524,
DevOps Engineer,17,bachelor,18,Technology,Startup,India,,1,100209,Senior
DevOps Engineer,3,diploma,7,Media,Startup,Remote,1,3,114225,Junior
DevOps Engineer,4,master,8,Finance,Small,Germany,,2,137773,Junior
Machine Learning Engineer,12,high school,1,Telecom,Startup,UK,,2,143449,Senior
DevOps Engineer,1,bachelor,11,Education,Medium,Netherlands,1,4,120922,Fresher
Business Analyst,10,bachelor,5,Government,Enterprise,Netherlands,0,4,127909,Mid
Frontend Developer,9,high school,4,Manufacturing,Startup,UK,1,5,119959,Mid
Frontend Developer,13,phd,15,Consulting,Large,UK,,5,197983,Senior
Software Engineer,17,master,15,Finance,Large,Singapore,0,4,179877,Senior
Product Manager,20,master,17,Manufacturing,Large,India,,4,142857,Senior
Data Scientist,11,phd,8,Consulting,Medium,Singapore,1,4,154520,Senior
Cybersecurity Analyst,18,master,10,Healthcare,Large,Canada,,0,213952,Senior
Data Scientist,6,phd,5,Government,Large,Singapore,0,5,167014,Mid
Product Manager,20,diploma,15,Government,Small,Remote,0,2,149186,Senior
Cybersecurity Analyst,0,bachelor,17,Manufacturing,Enterprise,UK,,2,151900,
Machine Learning Engineer,14,bachelor,7,Technology,Large,USA,1,2,228160,Senior
Data Analyst,1,master,15,Government,Startup,Canada,,3,108242,Fresher
Machine Learning Engineer,16,diploma,16,Manufacturing,Medium,Netherlands,,3,170617,Senior
Data Scientist,8,phd,14,Media,Small,Sweden,,0,135915,Mid
